,Access_And_Affordability,company,Air_Quality,Business_Ethics,Business_Model_Resilience,Competitive_Behavior,Critical_Incident_Risk_Management,Customer_Privacy,Customer_Welfare,Data_Security,Director_Removal,Ecological_Impacts,Employee_Engagement_Inclusion_And_Diversity,Employee_Health_And_Safety,Energy_Management,GHG_Emissions,Human_Rights_And_Community_Relations,Labor_Practices,Management_Of_Legal_And_Regulatory_Framework,Physical_Impacts_Of_Climate_Change,Product_Design_And_Lifecycle_Management,Product_Quality_And_Safety,Selling_Practices_And_Product_Labeling,Supply_Chain_Management,Systemic_Risk_Management,Waste_And_Hazardous_Materials_Management,Water_And_Wastewater_Management,rating
10,0.0,Anker,-0.1322391164192988,-0.0864936013291552,0.0,-0.1809792208843838,-0.4441257851523401,-0.354952014963937,0,-0.1806619221356805,0.0,-0.1535871312431187,-0.040865692128602,-0.0006897778215586,-0.1108719508896945,0.0117267147137741,-0.0561977403374496,-0.1330463514805886,-0.0363611167876011,-0.0872043025229813,-0.0937060531774728,-0.3783153597941774,0.4554687623386171,-0.1092765091333208,-0.046397649038044,-0.1794196603486003,-0.0952048033090178,4
11,0.0,AOSmith,0.0,-0.0604421004433056,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,-0.0186148697182436,-0.2096872200500835,-0.2307681181617561,-0.1786090304872694,-0.0073448326688692,-0.159908370075428,-0.0058603417502697,0.1880530960550178,-0.0845242110984345,0.0,0.0,-0.0772359877870627,0.0,0.0,-0.2103090034982812,4
12,-0.4642883593679787,Apple,-0.4302989003890307,-0.0608224479165296,-0.4191772834050478,-0.3314487571105951,0.0,0.3344579969051494,0,-0.3472817692107238,0.0,-0.2317556890725373,0.0268373938132743,-0.142576843186299,-0.099704165323268,-0.0925612755535902,-0.0485696202101114,-0.0561131712420414,-0.1344239570618728,-0.1429267670847156,-0.1509138240939519,-0.4920819580642536,-0.2967346217313596,-0.1689487882889101,0.0,-0.29195873266908,-0.2719665266339294,4
13,0.0,Ares,-0.2135889719186481,0.0666947609423136,-0.350536970634279,0.0,-0.6017476358902761,0.0,0,-0.3368738175749185,-0.0881492071847569,0.0,-0.0587741510848792,0.0418371332468813,-0.143549027060081,-0.2103205120671639,-0.1815952078480761,0.1635811552650315,-0.1145944828394856,-0.0928756593301059,-0.0870232540890289,0.0,0.0,0.0,-0.2289186783534841,-0.3052598069563026,0.0,4
14,-0.1735527255824662,Asia,-0.3438678850069777,-0.1686920819446296,0.0,-0.3501398609025991,-0.325410222632707,-0.1031274490577859,0,-0.1411252474843397,0.1522735838369037,-0.3090560044372935,-0.113321758921185,-0.0832921513974792,-0.1624008819882326,0.0204280967842041,-0.2068448558204313,-0.2136767353228306,-0.1068472099567275,-0.0957187743681738,-0.1323310764680659,-0.3221100399122207,0.0,-0.0891719990250582,-0.0495559201296079,-0.2624470843366512,-0.2424571176671453,4
15,-0.3564122976643597,ATandT,0.0,-0.056959883528335,-0.3137217256387838,-0.1617528329043237,-0.2793187552776873,-0.1444229231078546,0,-0.3285267508414666,0.0,-0.5204342902803789,0.0524157456001728,-0.1784807726047285,-0.1164832118868785,0.0775741488073447,-0.0810108512303249,-0.2418164606121352,-0.0578130461488123,-0.172018892882962,0.0949744730008024,0.0,0.0,-0.1237413160940211,-0.0109005182272059,-0.0932845468971244,0.0,4
16,-0.2867394621310217,AutoZone,0.2113339240325173,-0.0623244051469888,0.0,-0.0931037544232426,-0.3727429175891878,-0.4493390243877318,0,-0.1560356684218833,0.0,0.0416427845540506,-0.0548308886524784,-0.1797959720729159,-0.1166031009969777,-0.1093168298008851,-0.024342598228639,-0.2223999618948725,-0.0658548227526643,-0.1334727074132802,-0.179868298074952,-0.1846604841620431,0.0,-0.0795222785697821,-0.2775567258455194,-0.1905615390936068,-0.194539406822004,4
17,-0.2900819444999484,Azrieli,-0.4822048514214773,-0.1322814320304598,-0.2768587719513956,-0.3649940394086534,-0.3177337533751241,0.0,0,-0.1849900289732636,0.0225484886875442,-0.2418137240160369,-0.074674950118444,-0.1588591709154362,-0.1218550346881153,-0.0717584211043371,-0.0914170828352692,-0.1907730081376472,-0.0628528514972938,-0.1587561768943365,-0.1708376786318691,0.3458946316690376,0.0,-0.0448675334726179,-0.0247600848825493,-0.2064227906826026,-0.2881507396319684,4
18,-0.3358799611012867,Balder,-0.3670441842886372,-0.1792660044564423,-0.3798732182115437,-0.4360764965802133,-0.3469146539078326,-0.3294875431125292,0,-0.2854600579060792,-0.1830085441830624,-0.2874569746100103,-0.07978042664926,-0.1559589212296624,-0.1470263185958617,0.0073025229443522,-0.1147509210863822,-0.1953446553917967,-0.0700490677719821,-0.1456612776092016,-0.05958120586251,0.0,0.0,-0.1484017818579305,-0.1784766239653026,-0.2287185726194374,-0.1930493313680052,4
19,-0.5056983702312747,Banco,0.0,-0.0581429664644605,0.0,0.0,0.0,0.0,0,-0.1037892002708372,-0.2198300177703157,0.0,-0.081562570181513,0.0,-0.0251696335754107,0.0,0.0777398924324462,0.0476404691057435,-0.1202591722206454,0.0,0.0,0.0,0.0,-0.3596509419485306,-0.1681598874015497,0.0,0.0,4
20,-0.4168929550957347,Barrick,-0.303685533806174,-0.1067471923546216,-0.229289024340699,-0.2080871806754946,-0.5133609299234385,0.0,0,0.0,0.7058325045195127,-0.2229580916072109,-0.0926648152726893,-0.0941557252283963,-0.160782396607532,-0.0750049316414673,-0.1294361894789343,-0.2004155036230253,-0.0546763581486584,-0.1217863900743802,-0.1828474541918322,0.1131076906068777,0.0,-0.1429942912819359,-0.1587387940593831,-0.2374504693837024,-0.2400139951314392,4
